239	k141_23	88	329	329	191	662	421	662
124	k141_23	1	127	329	170	127	1	257
40	k141_23	88	127	329	425	158	197	197
32	k141_23	1	32	329	381	32	1	54
32	k141_23	1	32	329	381	23	54	54
111	k141_24	63	221	314	526	159	1	159
102	k141_24	1	102	314	202	102	1	215
100	k141_24	182	299	314	609	1	118	119
90	k141_24	63	203	314	487	141	1	141
65	k141_24	8	96	314	218	942	1030	1737
46	k141_24	170	221	314	510	52	1	58
168	k141_0	237	404	505	517	168	1	168
141	k141_0	365	505	505	425	1	141	197
140	k141_0	1	140	505	197	1491	1630	1630
125	k141_0	152	276	505	263	1	125	125
79	k141_0	101	179	505	476	1	79	79
79	k141_0	101	191	505	474	1	91	91
70	k141_0	101	179	505	477	85	7	85
56	k141_0	385	461	505	756	78	2	78
52	k141_0	140	191	505	670	52	1	52
41	k141_0	237	280	505	338	1	44	170
40	k141_0	365	404	505	338	131	170	170
40	k141_0	140	179	505	564	46	7	46
34	k141_0	146	179	505	170	257	224	257
31	k141_0	380	416	505	530	76	112	120
29	k141_0	385	416	505	14	40	9	2784
278	k141_1	1	281	281	191	292	12	662
29	k141_1	253	281	281	408	1	29	48
29	k141_1	253	281	281	407	1	29	94
365	k141_2	1	434	437	112	571	1004	45684
273	k141_92	1	276	276	191	268	543	662
443	k141_93	250	692	1068	550	443	1	443
258	k141_93	795	1052	1068	612	258	1	258
160	k141_93	661	820	1068	521	160	1	160
278	k141_137	1	281	281	191	87	367	662
140	k141_138	1	140	279	206	2489	2350	2699
139	k141_138	141	279	279	207	1	139	2474
43	k141_138	135	180	279	461	3890	3935	3935
41	k141_138	140	180	279	40	23027	23067	23067
40	k141_138	141	180	279	423	40	1	41
40	k141_138	141	180	279	422	40	1	41
39	k141_138	141	179	279	308	9725	9763	9763
39	k141_138	141	179	279	123	25027	25065	25065
39	k141_138	141	179	279	111	10114	10152	10152
39	k141_138	141	179	279	21	39	1	7139
697	k141_46	589	1285	1550	586	1	697	697
600	k141_46	1	600	1550	766	600	1	600
217	k141_46	1273	1489	1550	669	217	1	217
131	k141_47	190	320	327	285	131	1	131
102	k141_47	47	157	327	445	178	68	178
32	k141_47	190	221	327	445	32	1	178
86	k141_47	1	86	327	700	86	1	100
50	k141_47	67	137	327	732	158	88	234
32	k141_47	190	221	327	732	32	1	234
50	k141_47	31	86	327	213	56	1	74
44	k141_47	283	326	327	353	1	44	44
43	k141_47	187	229	327	436	72	114	114
42	k141_47	281	322	327	352	42	1	42
41	k141_47	287	327	327	773	56	16	56
40	k141_47	190	229	327	642	9	48	48
40	k141_47	281	320	327	351	1	40	80
40	k141_47	287	326	327	291	1	40	156
40	k141_47	283	322	327	683	197	158	197
98	k141_49	101	198	216	651	1	98	98
84	k141_49	34	117	216	334	84	1	84
70	k141_49	1	73	216	197	73	1	1630
69	k141_49	43	123	216	465	1	81	81
66	k141_49	43	117	216	778	75	1	75
57	k141_49	84	140	216	341	57	1	57
49	k141_49	168	216	216	601	1	49	131
49	k141_49	159	207	216	500	1	49	49
47	k141_49	158	207	216	616	53	102	102
37	k141_49	104	140	216	616	1	37	102
46	k141_49	78	123	216	589	1	46	46
44	k141_49	159	211	216	665	151	99	151
40	k141_49	34	73	216	466	49	10	49
40	k141_49	101	140	216	803	1	40	43
37	k141_49	104	140	216	181	204	168	204
7522	k141_3	163	7684	10839	154	7522	1	7522
1684	k141_3	7712	9395	10839	539	1	1684	1684
41	k141_3	7971	8020	10839	539	29	78	1684
41	k141_3	7740	7789	10839	539	260	309	1684
629	k141_3	9819	10447	10839	505	1	629	629
351	k141_3	10468	10839	10839	163	62	433	448
62	k141_3	10408	10469	10839	163	1	62	448
348	k141_3	9510	9857	10839	587	1	348	348
212	k141_3	8054	8388	10839	522	1405	1071	1438
170	k141_3	8453	8700	10839	522	1006	759	1438
40	k141_3	10408	10447	10839	522	40	1	1438
40	k141_3	7712	7751	10839	522	1438	1399	1438
174	k141_3	9365	9538	10839	268	174	1	174
153	k141_3	9365	9538	10839	575	174	1	174
141	k141_3	1	141	10839	206	2559	2699	2699
120	k141_3	9708	9857	10839	451	392	541	541
40	k141_3	9510	9549	10839	451	1	40	541
119	k141_3	9819	10057	10839	537	1	239	5434
107	k141_3	7645	7751	10839	548	107	1	107
60	k141_3	142	201	10839	457	60	1	92
59	k141_3	9334	9395	10839	305	62	1	452
51	k141_3	9499	9549	10839	553	1	51	51
49	k141_3	9356	9404	10839	463	1	49	49
44	k141_3	7638	7684	10839	507	1004	1050	1050
41	k141_3	162	202	10839	405	1	41	41
41	k141_3	9818	9858	10839	424	41	1	41
40	k141_3	102	141	10839	454	1	40	41
40	k141_3	162	201	10839	404	1	40	41
40	k141_3	162	201	10839	151	1	40	20641
40	k141_3	163	202	10839	44	1	40	52455
40	k141_3	102	141	10839	733	42	3	42
40	k141_3	102	141	10839	667	1166	1127	1166
40	k141_3	104	149	10839	546	3063	3018	3063
39	k141_3	103	141	10839	455	1	39	41
39	k141_3	163	201	10839	216	1	39	2493
39	k141_3	163	201	10839	35	1	39	13273
39	k141_3	103	141	10839	79	22678	22640	22678
38	k141_3	104	141	10839	140	1	38	4739
38	k141_3	104	141	10839	137	1	38	9670
38	k141_3	104	141	10839	456	41	4	41
37	k141_3	105	141	10839	489	1	37	228
37	k141_3	105	141	10839	348	7170	7134	7170
6377	k141_159	4312	10688	21591	166	1	6377	6377
5981	k141_159	15369	21349	21591	324	5981	1	5981
3461	k141_159	11728	15188	21591	365	1	3461	3461
40	k141_159	11317	11356	21591	365	1	40	3461
39	k141_159	11107	11145	21591	365	1	39	3461
39	k141_159	11442	11480	21591	365	1	39	3461
1424	k141_159	877	2300	21591	645	1424	1	1424
1408	k141_159	2925	4332	21591	664	1	1408	1408
